N,Bias_a,Bias_v,Bias_t,SE_a,SE_v,SE_t
10,-0.605439,1.707402,0.251353,0.366556,2.915222,0.063178
10,-0.478429,0.768875,0.112208,0.228894,0.591169,0.012591
10,0.035754,0.255936,0.091863,0.001278,0.065503,0.008439
10,-0.608011,1.661897,0.353756,0.369677,2.761903,0.125144
10,-1.174017,-0.606345,0.431521,1.378315,0.367654,0.186211
10,-0.707081,1.541766,0.450895,0.499963,2.377041,0.203306
10,-0.057600,-1.415999,0.018717,0.003318,2.005054,0.000350
10,-0.610667,-1.032785,0.070716,0.372914,1.066644,0.005001
10,-0.708367,6.455642,0.123954,0.501783,41.675314,0.015365
10,4.658200,-0.633099,-8.503940,21.698825,0.400814,72.316995
10,2.482208,-0.511369,-3.009803,6.161355,0.261499,9.058916
10,-0.285467,-0.277251,0.029406,0.081491,0.076868,0.000865
10,0.172087,-0.108098,-0.290422,0.029614,0.011685,0.084345
10,1.970551,-1.315772,-1.963859,3.883071,1.731255,3.856742
10,-0.395254,2.085732,0.191248,0.156226,4.350279,0.036576
10,-0.493343,0.744745,0.224173,0.243387,0.554646,0.050253
10,-0.753398,0.513807,0.494847,0.567609,0.263998,0.244874
10,0.318981,-1.105914,-0.193883,0.101749,1.223046,0.037591
10,-0.188002,0.993954,0.017955,0.035345,0.987944,0.000322
10,-0.172665,-0.161180,0.091882,0.029813,0.025979,0.008442
10,0.653056,0.356316,-0.391105,0.426483,0.126961,0.152963
10,-0.606832,0.667504,0.206816,0.368245,0.445562,0.042773
10,-0.146859,0.397648,0.330914,0.021568,0.158124,0.109504
10,-0.666229,-0.667454,0.087422,0.443862,0.445495,0.007643
10,-0.651691,5.856061,0.107862,0.424702,34.293447,0.011634
10,-0.418572,-10.594107,0.066400,0.175202,112.235112,0.004409
10,-0.162095,1.063955,0.019578,0.026275,1.132000,0.000383
10,-0.159349,1.602842,0.020106,0.025392,2.569102,0.000404
10,-0.306426,1.615023,0.185800,0.093897,2.608299,0.034522
10,-0.107103,0.115343,0.249702,0.011471,0.013304,0.062351
10,-0.710322,1.629003,0.378192,0.504557,2.653650,0.143029
10,0.150360,-0.628429,-0.334482,0.022608,0.394923,0.111878
10,-0.429880,0.156681,0.437409,0.184797,0.024549,0.191326
10,-0.859342,1.481432,0.333483,0.738469,2.194640,0.111211
10,0.698473,-1.038697,-0.496679,0.487864,1.078892,0.246690
10,3.898407,-0.725146,-6.607812,15.197575,0.525837,43.663179
10,0.066570,0.207933,-0.042145,0.004432,0.043236,0.001776
10,-0.042092,0.483547,-0.054757,0.001772,0.233818,0.002998
10,-0.546495,2.392630,0.217985,0.298656,5.724679,0.047518
10,-0.396817,3.096209,0.083843,0.157464,9.586513,0.007030
10,1.145070,-0.594553,-1.260140,1.311185,0.353494,1.587953
10,-0.898789,-0.009917,0.338247,0.807821,0.000098,0.114411
10,-0.152456,-0.308585,0.148779,0.023243,0.095225,0.022135
10,-0.348060,1.120505,0.239651,0.121146,1.255531,0.057433
10,-0.226163,0.632064,0.086745,0.051150,0.399505,0.007525
10,-0.634821,-1.017033,0.129652,0.402998,1.034356,0.016810
10,0.396640,-0.913226,-0.408628,0.157324,0.833982,0.166977
10,-0.771077,0.277303,0.055767,0.594560,0.076897,0.003110
10,-0.343958,0.273656,0.317725,0.118307,0.074888,0.100949
10,0.369470,-0.058895,-0.328740,0.136508,0.003469,0.108070
10,1.007370,-0.806907,-0.970268,1.014794,0.651100,0.941421
10,-0.506031,0.553837,0.058524,0.256067,0.306736,0.003425
10,-0.141771,-0.064277,0.153600,0.020099,0.004132,0.023593
10,0.732110,0.252761,-0.535136,0.535985,0.063888,0.286371
10,0.205418,-0.638371,-0.176573,0.042197,0.407518,0.031178
10,0.801986,-1.313222,-0.572775,0.643182,1.724553,0.328071
10,-0.396459,1.345744,0.186240,0.157180,1.811026,0.034685
10,-0.474310,0.659279,0.148743,0.224970,0.434648,0.022125
10,0.861788,-0.347522,-0.481276,0.742678,0.120772,0.231627
10,0.296927,-1.467376,-0.115632,0.088166,2.153193,0.013371
10,-0.409814,0.088465,0.139813,0.167947,0.007826,0.019548
10,0.476959,-0.012237,-0.286884,0.227490,0.000150,0.082303
10,0.194331,-0.699958,0.002158,0.037764,0.489941,0.000005
